N33T34,N39T40,N65T66,N117T118,N155T156,N231T232,N249T250,N15T16,N17T18,N21T22,N23T24,N25T26,N27T28,N29T30,N31T32,N35T36,N37T38,N41T42,N45T46,N53T54,N55T56,N59T60,N63T64,N67T68,N87T88,N91T92,N95T96,N111T112,N115T116,N119T120,N123T124,N131T132,N135T136,N137T138,N139T140,N143T144,N147T148,N149T150,N161T162,N163T164,N165T166,N167T168,N169T170,N173T174,N179T180,N181T182,N189T190,N195T196,N211T212,N215T216,N219T220,N221T222,N13T14,N235T236,N145T146,N201T202,N191T192,N225T226,N193T194,N199T200,N203T204,N217T218,N209T210,N213T214,N257T258,N2397T2398,N5263T5264,N247T248,N253T254,N89T90,N265T266,N269T270,N267T268,N271T272,N43T44,N61T62,N5357T5358,N5373T5374,N5381T5382,N5759T5760
,,-0.13561128611512732,1.0,0.9872952502956279,,-0.02586903969685819,,,,,-0.002401660998779865,,-0.5368311409876899,-0.5097134739305168,-0.5686756712832602,-0.37072798711659416,,,-0.4246534628789599,-0.4824482784145337,,-0.6527644987003859,,-0.08660226118787553,,,,,-0.505120266974425,,0.07659879916873977,-1.0,-0.3451065549595405,-0.07171701580738137,-0.13637497719672376,,,0.06560953632647196,,,,,-0.2942430973992584,,,0.022341520863744416,,-0.526064606480491,-0.6418921808175351,-0.8898662885525368,-0.1456252655168987,-0.6208489987951398,,-0.16662489581094778,-0.33558751807888076,-0.2100320231329229,,,,,,-0.19653494681167025,-0.25294620397773493,,-0.17568489457936534,-0.5410888471731355,,-0.5826330152574853,0.061667629371030375,,-1.0,,,,,,0.07578933878374478,-0.31667255160853963,-0.23199242920751578
-1.0,,,0.7982895276787535,,0.2734115905542344,0.10090999596431156,,,,,,-0.32936132401985657,-1.0,-0.25891190077174836,,-1.0,-1.0,-0.5808731217573696,-0.4851252668290253,-0.2589932597688208,,,,-0.4040511241741739,,,-0.36224107002236905,,,-0.544061060900539,,,-0.16662489581094778,,,-0.041781111816896345,,-0.12495135023882614,,,,,,-1.0,-1.0,,,-0.05488020420754467,,,,-0.6208489987951398,-0.1456252655168987,-0.04363397954258416,,,,-0.3376767575046808,0.08877133157332052,,,,-0.25294620397773493,-0.31624115774285344,-0.7659829317227398,-0.08874200085330274,-0.2737311971090243,0.15363365545429478,0.029107534148323285,,-1.0,-1.0,-0.4458498237192032,,,-0.02301998634346144,0.02749450168425505,-0.0011586772141966753,-0.34232292696476535
,0.1103860370789201,,,0.9872952502956279,,,-0.5269290148069428,0.05698953217246423,-0.3117328235798906,-0.8011937297963313,-1.0,,,-0.11690724978918807,,,-0.0015141501983473268,0.05861590437231323,,-0.2960788568038129,0.081411247900979,,-0.13637497719672376,,,-0.10658693444860352,,-1.0,-0.14213561368773672,,-0.5826330152574853,-0.2547379043593581,-0.04363397954258416,,-0.24199806866436668,,,,,-1.0,,-0.22527330734638165,,0.30415262562029305,,,-0.526064606480491,-0.015026629845579334,,,,-0.07192812036214044,-0.8898662885525368,,,-0.3376767575046808,,-1.0,-0.3732710508466893,,-0.12422235213979375,-1.0,-0.6343158512177188,-0.41382518008836505,,-0.47127430061181563,,,0.16998849108321504,-0.05488020420754467,,-0.6254986413425905,-0.12204300597750496,,,-0.25294620397773493,,,
,-0.6356970896914433,,,,0.33857049461728844,0.13047485921616103,,-0.08660226118787553,,,-0.4040511241741739,-0.06878904170346438,,-0.44586889988172346,,-0.23039697220183838,-0.01963668076182066,,,-0.13637497719672376,,,-0.10876681658503735,,,,,,,-0.39877011348864305,-0.23533231208066707,,,0.055966736928145376,-0.09505900344324897,,,,,,,,,,-0.6418921808175351,-0.3615798618767097,,0.11756549390075798,,,-0.0017750309897421363,-1.0,-0.11449158535680763,0.04212009344716957,-0.7675511346958732,,,-0.4140588686378428,-0.7475091366378604,0.05861590437231323,-0.8530274722512262,-0.38691350296964305,-0.3451065549595405,-0.6874570574844652,-0.3157363566046477,-0.63045958572695,-0.7102673024896841,-0.07171701580738137,-0.866961283941651,-1.0,-0.7652326799952573,,,,,-0.4246534628789599,-0.24199806866436668,,0.024669192355961884
0.36084658735958564,,,,,,0.07372965710746603,,-0.6563865304882388,0.026899440934018425,,-0.4040511241741739,,,0.20239444638973159,,,,0.02749450168425505,-0.25294620397773493,-0.028482712782417846,-1.0,-0.22527330734638165,-1.0,-0.6999232303499673,,-0.33845033875242486,,,-1.0,,-0.2744681828463267,-0.07171701580738137,-0.45357683727176923,-0.17821373911732177,-0.015026629845579334,,,,-0.0034313206000878343,,-0.3606344960700702,-0.5808731217573696,,,,,-0.27719870481756714,-0.4458498237192032,,,-1.0,-0.310022910542227,,,,-0.041781111816896345,-0.19698601256606244,-0.24199806866436668,-0.22544762091902776,,,-0.63045958572695,,,-0.3157363566046477,-0.08874200085330274,,0.07659879916873977,,-0.38653453561675916,,,,-0.2858868705644373,-0.1456252655168987,-0.6343158512177188,,,0.1784026171713871
,,,0.6446563210776945,,,0.20239444638973159,,,-0.9241401486277374,,-0.14075763595691698,-0.0027983393231219835,-0.3732710508466893,-1.0,,-0.5173025772341703,-0.6874570574844652,-1.0,-0.37072798711659416,-0.2960788568038129,,-0.09505900344324897,,-0.43534619674289154,,,,,-0.10658693444860352,-0.39877011348864305,,-0.037220983273472286,-0.08407351244868218,,,,,0.0897964035866134,-0.4038624932449885,,,,,-0.9329942420142032,-0.2858868705644373,,-0.22527330734638165,,-0.07942201642574444,,0.01988096625163931,-0.7128215321534449,-0.7390847378726304,,0.1615693670132616,,,-0.19493376924928718,,,,,-0.18696330180407347,0.055966736928145376,-1.0,-1.0,-0.033703343695932746,,,-0.6527644987003859,,0.06640239774287544,-0.27719870481756714,,,,-0.2589932597688208,-0.31667255160853963,-0.20675562515546453
0.06178862049392107,,0.13090623645925942,0.7982895276787535,,-1.0,0.20239444638973159,-0.9170894077863138,,,,,-1.0,,-0.14041587129013838,,,-0.38691350296964305,-0.06790827914111426,-0.5921500577717166,,-0.42822365270592644,-0.7652326799952573,-0.4458498237192032,,,-0.23533231208066707,-0.12422235213979375,-0.2089191086038502,-0.7590803907655508,,-0.0015141501983473268,,-0.16662489581094778,,-0.526064606480491,0.07578933878374478,0.1446492213339385,-0.23039697220183838,-1.0,,-0.041781111816896345,,,-0.6700391191580541,,,,,-0.05414299390520605,,,-0.3615798618767097,-0.08407351244868218,-0.18696330180407347,0.10090999596431156,,,-0.6527644987003859,-0.6563865304882388,-0.3606344960700702,,,,,-0.4271657169629962,-0.2547379043593581,,,-0.5427793301467747,,,,,,,,-0.015026629845579334,-1.0,
,,0.44684282519127955,-0.4668053727896672,,0.0468169177683264,0.13047485921616103,,,,,-0.6563865304882388,,-0.6137007220272704,,,,,,,,,-0.6527644987003859,,,,-0.5826330152574853,0.055966736928145376,,-0.29438537223446576,-1.0,-0.7590803907655508,,-0.23039697220183838,0.07659879916873977,,,-0.1411148106552615,,,,,,-0.8730129847599141,,,-0.11690724978918807,-0.3376767575046808,,,,-0.29862801919741094,-0.8305570706300507,-0.25294620397773493,-0.4246534628789599,,-0.10876681658503735,-0.22957847456805103,-0.12204300597750496,-0.5368311409876899,,,-0.505120266974425,-0.8059025996785264,-0.037220983273472286,,,-0.033703343695932746,-0.17821373911732177,-0.4710824406767094,-0.3606344960700702,-1.0,-0.4349236050791605,-0.0011586772141966753,,,0.04212009344716957,0.11756549390075798,-0.7652326799952573,-0.15504522542633453
0.5597503282932924,0.6446563210776945,0.44684282519127955,,,-0.05420887466075577,-1.0,,-0.28267274088922417,,,-0.3117328235798906,,,-0.11690724978918807,,,,-0.0011586772141966753,,,-0.6855327114340741,-0.22527330734638165,,-0.19703459976194898,,-0.2157700609946703,-0.63045958572695,0.01988096625163931,-0.5410888471731355,,0.055966736928145376,-0.505120266974425,,-0.36224107002236905,-0.19493376924928718,,,,,,,-0.24199806866436668,,,,-0.44586889988172346,,-0.028482712782417846,,-0.27587893677046665,-1.0,-0.581326187865391,-0.12495135023882614,-0.08407351244868218,-0.5451664739633341,-1.0,-0.2947479578906208,,-0.22544762091902776,,0.03592959684422449,-1.0,-0.683017879506105,,-0.543371946824346,0.07659879916873977,-0.09371117715908336,,,-0.526064606480491,,,,,,-0.45357683727176923,,,
,0.3642869575852486,,0.7982895276787535,,,-0.16364847999104884,,-0.2529659891803822,-1.0,,,,,,,,,-0.3376767575046808,0.01988096625163931,-0.6527644987003859,0.22348109424677265,-0.27719870481756714,,-0.14075763595691698,,,-0.31624115774285344,-0.6343158512177188,-0.17821373911732177,,-0.29438537223446576,-0.7590803907655508,-0.683017879506105,,0.05861590437231323,-0.18008397586296915,,,-0.5772792024235931,,,-1.0,,-0.141980079787637,,-0.049034310102430693,,-0.3606344960700702,,-0.12495135023882614,,-0.5451664739633341,-0.8059025996785264,,,,,-0.1651143020376917,0.15709318941464714,-0.2100320231329229,-0.38691350296964305,-0.19653494681167025,-0.39676370311875186,-0.505120266974425,0.07113077655631597,,,,,,-0.7652326799952573,-0.26268442683731147,-0.015026629845579334,,,,,-0.0011586772141966753,-0.07942201642574444
