Consensus
PTN1
PTN1
PTN1
PTN4
PTN1
PTN4
PTN3
PTN3
PTN3
PTN3
PTN4
PTN4
PTN4
PTN1
PTN1
PTN1
PTN2
PTN2
PTN2
PTN2
PTN1
PTN2
PTN2
PTN2
PTN1
PTN2
PTN2
PTN1
PTN1
PTN2
PTN1
PTN2
PTN1
PTN2
PTN4
PTN4
PTN3
PTN3
PTN4
PTN2
PTN2
PTN3
PTN4
PTN4
PTN3
PTN1
PTN1
PTN3
PTN1
PTN2
PTN3
PTN3
PTN3
PTN2
PTN3
PTN2
PTN1
PTN1
PTN1
PTN1
PTN1
PTN1
PTN1
PTN1
PTN2
PTN1
PTN3
PTN2
PTN2
PTN1
PTN3
PTN4
PTN1
PTN4
PTN2
PTN2
PTN1
PTN3
PTN1
PTN1
