Cluster
PHOS1
PHOS1
PHOS1
PHOS1
PHOS1
PHOS1
PHOS1
PHOS1
PHOS1
PHOS1
PHOS1
PHOS1
PHOS1
PHOS1
PHOS1
PHOS1
PHOS1
PHOS1
PHOS1
PHOS1
PHOS1
PHOS1
PHOS1
PHOS1
PHOS1
PHOS1
PHOS1
PHOS1
PHOS1
PHOS2
PHOS2
PHOS2
PHOS2
PHOS2
PHOS2
PHOS2
PHOS2
PHOS2
PHOS2
PHOS2
PHOS2
PHOS2
PHOS2
PHOS2
PHOS2
PHOS2
PHOS2
PHOS2
PHOS2
PHOS2
PHOS2
PHOS2
PHOS2
PHOS2
PHOS2
PHOS2
PHOS3
PHOS3
PHOS3
PHOS3
PHOS3
PHOS3
PHOS3
PHOS3
PHOS3
PHOS3
PHOS3
PHOS3
PHOS3
PHOS3
PHOS3
PHOS3
PHOS3
PHOS3
PHOS3
PHOS3
PHOS3
PHOS3
PHOS3
PHOS3
