Consensus
RNA1
RNA2
RNA1
RNA1
RNA2
RNA1
RNA2
RNA1
RNA1
RNA1
RNA1
RNA1
RNA1
RNA1
RNA1
RNA1
RNA1
RNA2
RNA1
RNA1
RNA1
RNA1
RNA1
RNA2
RNA1
RNA1
RNA2
RNA1
RNA2
RNA2
RNA2
RNA1
RNA2
RNA1
RNA1
RNA1
RNA1
RNA1
RNA1
RNA2
RNA2
RNA1
RNA1
RNA2
RNA1
RNA1
RNA1
RNA1
RNA2
RNA1
RNA1
RNA2
RNA2
RNA1
RNA1
RNA1
RNA1
RNA2
RNA2
RNA1
RNA2
RNA2
RNA1
RNA1
RNA1
RNA2
RNA1
RNA2
RNA1
RNA2
RNA2
RNA1
RNA1
RNA1
RNA1
RNA2
RNA2
RNA1
RNA2
RNA1
