Symbol
AAK1
ACIN1
ACIN1
ACIN1
ACLY
ADRBK1
AFF1
AHNAK
AHNAK
AHSG
AHSG
AKAP12
AKAP12
AKAP12
AKAP9
AKT1
ALKBH5
ANK2
ARFGEF2
ARGLU1
ARHGAP17
ARHGEF17
ARHGEF9
ARID1A
ATN1
ATXN2
BAZ2B
BCL7C
BCLAF1
BCLAF1
BRD4
C10orf32
C6orf165;C6ORF165;
CACNB3
CAV1
CBL
CCNL2
CD248
CDC42BPB
CDC42EP4
CDC42EP4
CDC42EP4
CDH1
CDHR5
CEP131;AZI1;
CGN
CHAF1B
CHD2
CHD3
CHD4
CHD6
CHN2;CHN1;
CIC
CIZ1
CNP
COG5
COL16A1
COPA
COPB2
CORO7-PAM16;CORO7;
CPSF7
CTR9
DDX21
DDX46
DDX46
DGCR8
DIDO1
DIDO1
DKC1
DOCK9
DSP
DYNC2H1
EDC4
EEF1B2
EEF2
EIF4EBP1
EIF4G1
EIF4G3
EPB41L2
EPC2
ESF1
ESYT2
ESYT2
ETS1
ETV6
EVL
FAM120A;C9orf129;
FAM122A
FAM129A
FAM129A
FAM129A
FAM13C
FAM177B
FAM53C
FAM83B
FAM83F
FAM83H
FAM83H
FAP
FBN1
FGA
FGA
FGD6
FKBP15
FLCN
FLNA
FMNL2
FNBP1
FUBP1
FYB
G3BP1
GAPVD1
GATA4
GCH1
GIGYF2
GIT2
GOLGB1
GPX3
GTF2A1
GTF2A1
HARBI1
HARBI1
HARBI1
HDGFRP2
HERC3
HIST1H1E
HK1
HLA-A
HMGA1
HMGN1
HNRNPC
HOXA4
HSP90AA1
HSP90AA1
HSPB1
IBTK
ICE1
IGHM
ING4
IP6K1
IQSEC1
IRF2BP2
JPH1
KANK1
KANSL1
KCNMA1
KCTD12
KCTD12
KIAA1324
KIAA1462
KIF21B
KLF3
KMT2C
KRI1
KRT8
LAMB1
LARP4B
LASP1
LBR
LIMA1
LMOD1
LPP
LRRC16A
LSP1
LSP1
MAP1B
MAP1B
MAP1B
MAP3K1
MAP4
MAP4K5
MAP7D1
MAPT
MARCKS
MARCKSL1
MAVS
MCM3
MCM3
MCM4
MDC1
MEF2D
MIER1
MLLT4
MPHOSPH8
MPHOSPH8
MUC2
MYCBP2
MYH14
MYL5
MYL5
MYL9;MYL12B;MYL12A;
MYL9;MYL12B;MYL12A;
MYLK
NACA2;NACA;
NAF1
NASP
NBN
NCAPG
NCOR2
NDE1
NEK9
NOL8
NOLC1
NOSTRIN
NUCB2
NUCKS1
NUCKS1
NUCKS1
PALM2-AKAP2;AKAP2;
PATL1
PCDH7
PDAP1
PDLIM2
PDLIM3
PHACTR4
PICK1
PIP4K2B
PLCB4
PLCD3
PLEC
PLEKHA2
PLEKHA2
PLEKHA6
PLEKHA6
PLEKHO2
PML
POF1B
PPFIA1
PPIG
PPP1R11
PPP1R12A
PPP4R3A
PRAM1
PRKCDBP
PRKD2
PRPF4B
PRRC2A
PRUNE2
PTRF
RABGAP1
RALY
RANBP2
RANBP2
RANBP3
RANGAP1
RBM15B
RBM6
RGPD8;RGPD5;RGPD4;RGPD3;RGPD2;RGPD1;RANBP2;
RGS12
RHBDF2
RNASEK-C17orf49;C17orf49;BAP18;
RNF169
RPLP2;RPLP1;
RSRC2
RTN4
S100A6
SAFB
SAP30L
SART1
SASH3
SCAF4
SCRIB
SCRIB
SCRIB
SCRIB
SDPR
SDPR
SEC31A
SETD5
SF3B1
SH2D3C
SH3PXD2A
SIGIRR
SLC12A6
SLCO2B1
SNIP1
SNRNP200
SNRNP70
SORBS1
SORBS1
SORBS1
SORBS3
SP110
SPP1
SRC
SRRM1
SRRM1
SRRM1
SRRM1
SRRM1
SRRM1
SRRM2
SRRM2
SSPO
STIM1
STK33
STK4
SUN2
SUN2
SVIL
SVIL
SYMPK
SYNM
SYNM
SYNPO
SYNPO2
SYNPO2
SYNPO2
SYNPO2
SYNPO2
SYNPO2
SYNPO2
SYNPO2
SYNPO2
SYTL4
SZT2
TACC2
TAGLN
TAGLN
TANC1
TCF12
TET2
TEX264
TFIP11
TGFB1I1
TGFB1I1
TGFB1I1
THRAP3
TIMP3
TJP2
TLE3
TMEM51
TNS1
TNS1
TNS1
TNS1
TNS1
TOP2B
TOP2B
TOP2B
TOR1AIP1
TPD52
TPP2
TPRA1
TRMT2B
TSTD2
UBE4B
UBN1
UNK
UTRN
VCL
VEZF1
VTN
WASH6P;WASH4P;WASH3P;WASH2P;WASH1;
WBP4
XRCC6
YAP1
ZBTB25;PRPF4B;
ZBTB4
ZBTB4
ZC3HAV1
ZFP91
ZFYVE16
ZMYM2
ZNF185
ZNF185
ZNF318
ZNF629
ZRANB2
ZSWIM4
