Symbol
HFE
ITGB1
AZGP1
MUC2
BTD
FLT3LG
CD74
RECK
ST6GALNAC1
STIM1
PBXIP1
QSOX1
VWF
CD33
A1BG
THSD7A
GLT8D1
2x1 cell
MUC5AC
PLXNB2
COL7A1
SIDT2
TMEM181
TTYH3
BTD
EPHB3
EFNA5
